名稱,分類,劇情介紹,上映日期,網址
殺手餐廳,劇情 ,"
規則一：聽從廚師命令，要不就是死
規則二：除了殺手之外，其餘人士禁止進入
規則三：無論是怎樣的殺手，都將受到平等待遇
 
大場加奈子（玉城蒂娜 飾）自小被母親拋棄，不僅名字諧音像「大笨蛋女子」，在世界上也找不到自己的容身之所。原本打算虛度人生的她，為了日薪30萬圓的工作，不小心被賣到了「殺手餐廳」，遇上了號稱天才主廚的退休殺手：龐貝羅（藤原龍也 飾）。本片由國際知名攝影師蜷川實花執導，繼《惡女花魁》及《惡女羅曼死》後，首次挑戰以「惡男」為主角的動作懸疑鉅片，更找來眾多知名演員出演史上最華麗絕倫的殺手群，窪田正孝、本鄉奏多、齋藤工、小栗旬、土屋安娜、真矢三嬉…在這間只招待殺手的餐廳，沾染血跡的人們循著美味的香氣來到，他們點選的餐點會是一份頂級的料理？還是瘋狂無比的殘殺遊戲？彷若誤入地獄仙境的愛麗絲，加奈子又該如何活下去？
 
原著《DINER：噬食者》由擅於描寫恐怖人性的平山夢明所撰，號稱暗黑版《神隱少女》。本片也透過蜷川本人牽線，由吉他武士MIYAVI與新生代饒舌歌手DAOKO創作主題曲〈千客萬來〉。片中更有許多曾與導演合作過的藝人們現身，如木村佳乃、前AKB48板野友美、川榮李奈、雙胞胎模特兒AMIAYA、星期三的康帕內拉KOM_I…導演已故的父親蜷川幸雄將是本片最大彩蛋，保證讓粉絲驚喜連連。
 
【關於電影】
 
蜷川實花與父親愛徒–藤原龍也首度合作，攜手打造華麗動作新片
《殺手餐廳》為蜷川實花第一次拍攝以男性為主角的電影，也是她首度挑戰商業動作片，各方面來說對她都是極大的挑戰。首先在退休殺手龐貝羅的選角上，蜷川實花一開始就表示這並非一般人能輕易帶入情感的角色，在她的腦袋中唯獨藤原龍也能夠勝任。實際上兩人的淵源早從蜷川幸雄還在世時就已經開始，雖然沒有太多的接觸，但蜷川實花曾將藤原龍也所演出的父親舞台劇全部看過，藤原亦能從蜷川身上看到恩師的影子，從拍攝開始就培養出絕佳的默契。龐貝羅的身分雖然是一名天才主廚，但藤原龍也表示自己從來沒有做菜的慧根，若說他在片中看起來很專業，那也是被施了「蜷川實花魔法」的緣故，在淋醬汁跟撒鹽巴的細微動作都獲得了充分的指導。他也透露在拍攝動作場景時更需要全力以赴，不論是在吧檯滑行還是跳躍射擊，在雨水及漫天櫻花的場景下都不是容易的任務。然而藤原龍也都完美達成了，連自己都難以置信動作電影融合在蜷川實花的迷離世界中，竟能達到如此境界，蜷川實花本人看到成果時更是驚嘆「到底是如何拍出這麼厲害的作品？」
 
改編自日本恐怖大師的顫慄美食小說
各界藝術家拔刀相助，獻上前所未有的視覺饗宴
以明亮、濃郁的色彩塑造出高調的美感，一直以來都是蜷川實花的註冊商標，繼《惡女花魁》及《惡女羅曼死》在亞洲引起熱烈話題討論後，迎來了她的第三部作品《殺手餐廳》。故事改編自恐怖大師平山夢明的《DINER：噬食者》，不僅劇情驚悚緊湊，文字更是將血肉與美食交雜描繪，被喻為「絕不可能被影像化」的長篇小說。此次蜷川實花不畏懼挑戰，找來各界專家結合一貫的「實花美學」，一同將平山老師獵奇的世界觀在觀眾眼前具象。本片的美術設計由曾在《惡女羅曼死》合作過的enzo操刀，餐廳場景主要在攝影棚內搭架而成，呈現出充斥著不祥氣息、正常人不會光顧的地下密室，同時也大量使用「日本安迪沃荷」橫尾忠則的畫作，沿著牆壁如同澡堂壁畫般拓展開來，扮演著提升緊張感、卻又約束著餐廳秩序的重要角色。此外「美食電影」中不可或缺的正是食物設計，根據蜷川導演「必須有壓倒性的視覺衝擊效果」的要求，前衛食物藝術家諏訪綾子連同主角龐貝羅自學料理的背景、習慣的手法與姿勢都一併講究，設計出專屬於《殺手餐廳》的獨特菜單，甚至將小說中驚人的「極致六倍漢堡」忠實呈現，將帶給觀眾貼近死亡又狂氣四溢的「最後的晚餐」。
 
          ",上映日期：2019-09-20,https://movies.yahoo.com.tw/movieinfo_main/%E6%AE%BA%E6%89%8B%E9%A4%90%E5%BB%B3-diner-10113
惡女羅曼死,劇情 ,"
            「目前票選少女們最想要的臉蛋第一名！」「只要是有她出現封面的雜誌，本本暢銷。」「她全身上下沒動過手腳的，只有眼珠、耳朵、指甲跟『私處』。」「令人深感興趣的臉，如今正在崩壞中......」「為什麼神要賜給我們青春美貌，卻又從我們手中奪走呢？」電影敘述莉莉子，這位東京最新人氣偶像/女優，從平地一聲雷的竄起，到最終沒落低潮的經過。不明來歷的她有天就這麼出現在大眾面前，瞬間成為全城討論的焦點。對她而言，沒有什麼是不可能的。但她有個不為人知的秘密：她的身體其實是無數次全身整形手術的合成品，整個身體除了骨頭、眼珠、頭髮、耳朵與私處，其他全都是假的。當她的主治大夫與為她進行手術的診所，涉及違反一起藥事行政法規後，有個偵探開始接近莉莉子，想要查明事件背後真相。同時間，莉莉子的身體也開始產生變化，過度手術的後遺症，讓她的身體開始崩壞......在這個充滿愛慕、嫉妒、懸疑與必然死亡的城市之中，莉莉子用她的勇氣，向東京殘酷的娛樂產業世界提出挑戰、奮力一博......
          ",上映日期：2012-08-24,https://movies.yahoo.com.tw/movieinfo_main/%E6%83%A1%E5%A5%B3%E7%BE%85%E6%9B%BC%E6%AD%BB-helter-skelter-4351
億男,劇情 ,"
            三億樂透，一晚騙光！追回彩金，誓死不歸！
魯蛇「一男」（佐藤健 飾）被失蹤的哥哥衝康，扛下三千萬巨債，就連妻子（黑木華 飾）都帶著女兒離開他，愁雲慘澹的日子因為中了三億頭獎一夕翻盤！為了避免暴富帶來的厄運，一男特別拜訪多年不見的富商同學「九十九」（高橋一生 飾）請教金錢之道，九十九不僅大方分享金錢觀，更帶他體驗揮金如土的極致豪奢！然而在如夢似幻的一天後，一男醒來卻發現九十九和三億元從此人間蒸發......為了奪回彩金，一男循線拜訪九十九的各種瘋狂日本富豪朋友，決心追到天涯海角也要討回屬於他的三億元！
 
【關於電影】
 
三億樂透下落不明！誓死踏上最進擊的討錢之旅！
《億男》集結日本一線巨星 首映週末就票房破億
三億樂透喜從天降，沒想到一晚就被搶走，從此下落不明！電影《億男》改編自同名暢銷小說，出自人氣作家，同時也是《告白》《你的名字》等超賣座電影的幕後推手 - 億萬製片川村元氣，由《神劍闖江湖》導演大友啓史，集結一線卡司《如果這世界貓消失了》佐藤健、《四重奏》高橋一生、《未來的未來》黑木華、《惡女羅曼死》澤尻英龍華等實力派巨星共同演出，於日本上映首週末就開出破1.5億日幣票房佳績，兩位男主角成為名副其實的「億男」！故事講述佐藤健飾演的魯蛇「一男」在窮困潦倒之際中了三億樂透頭獎，從「一男」一躍為「億男」，誰知道頭獎卻被秒騙走！從日本地下錢莊到摩洛哥沙漠，一男追到天涯海角也要對方百倍奉還！今年賀歲檔就讓《億男》帶你踏上最進擊的討錢之旅！
 
《告白》《你的名字》日本最強億萬企劃最新小說《億男》
岩井俊二看完也大推！這個金字招牌你一定要認識
《告白》《你的名字》《電車男》...這些經典億萬大作的幕後推手都是他！川村元氣號稱日本「票房奇蹟的幕後推手」，曾擔任無數叫好叫座電影的企劃與製作，川村憑藉獨到眼光，以及從編劇、製作到行銷的強大企劃能力，深獲多位日本當代電影大師如中島哲也、細田守、李相日等導演的信賴，《電車男》《吿白》《怪物的孩子》《你的名字》《怒》都是出自他手。不僅在電影圈佔有一席之地，川村元氣也是人氣小說作家，由他親筆創作的小說《如果這世界貓消失了》在日本創下140萬冊發行量，電影版更突破10億票房！新作《億男》再次被書迷傳頌，一推出就榮登當年「日本本屋大賞」入圍作品，獲選為全國書店店員最想賣的書！讀者一致大推「一口氣看完！熱淚盈眶！」知名導演岩井俊二也盛讚認同：「看完這個故事，才發現原來我們平時放在口袋裡的錢竟然是這等怪物！」《億男》電影版由影像敘事力和娛樂性十足的大友啓史導演執導，將帶來與原著一樣豐沛的想像與力道。
 
犬系、貓系一次滿足！佐藤健、高橋一生兩大型男攜手新作《億男》
《億男》自小說出版後就備受影迷期待，如今翻拍成電影，不只找來日本最擅長拍攝改編電影的億萬導演大友啓史來執導演筒，兩大主角更由「雙帥」《如果這世界貓消失了》佐藤健、《四重奏》高橋一生擔綱演出！佐藤健以《神劍闖江湖》系列於日本累積125億票房，《如果這世界貓消失了》也讓他晉升「貓系暖男」擄獲亞洲觀眾青睞，今年更以《跨越8年的新娘》入圍日本電影金像獎最佳男主角，是票房與實力兼具的新一代日本明星！童星出身的高橋一生一直以來都是備受肯定的實力派演員，鄰家男孩的笑容讓他成為「犬系男友」代表，不論是電視劇《四重奏》或電影《愛上謊言的女人》等作品都深獲觀眾喜愛！這次兩大男神首次合作，不只讓影迷一飽眼福，故事藉由一張三億頭彩引發的紛爭，帶領觀眾重新認識用金錢買不到的人生至寶！
          ",上映日期：2019-02-01,https://movies.yahoo.com.tw/movieinfo_main/%E5%84%84%E7%94%B7-million-dollar-man-9429
靠北少女,喜劇 劇情 ,"
            ★ 日本新片首周票房冠軍
★ 年度最爆笑ㄎㄧㄤ片 一解社會疫情愁悶氣氛
★ 日本新生代可愛教主 廣瀨鈴顛覆形象 首次挑戰叛逆少女
★ 廣瀨鈴 x 吉澤亮 x 堤真一 x 佐藤健 x 妻夫木聰...26 位超豪華陣容共同演出
 
女大學生七瀨(廣瀨鈴 飾)在沒啥搞頭且面臨解散的死亡金屬樂團「死魂」擔任主唱，正值叛逆期的她非常討厭父親野畑計(堤真一 飾)，常在表演中一邊甩頭一邊大喊「給我去死
吧！」來發洩對父親的不滿。
 
某天，她的願望成真了，計真的死了？！原來計經營的製藥公司偶然發明了可讓人「假死 2天」的藥，為了抓出偷取公司商業機密的內奸，計試著讓自己死一次。可沒想到敵對公司謀劃讓他的遺體提早火化！
 
本該討厭父親的七瀨，如何在短短兩天的期限內，與毫無存在感的鬼魂社員松岡卓(吉澤亮飾)、變成鬼魂現身的計，聯手阻止這項陰謀並讓計起死回生呢？
          ",上映日期：2020-05-22,https://movies.yahoo.com.tw/movieinfo_main/%E9%9D%A0%E5%8C%97%E5%B0%91%E5%A5%B3-not-quite-dead-yet-10575
最後的情書,劇情 愛情 ,"
            ★ 七夕情人節 戀愛電影首選
★ 新海誠力推！岩井俊二 繼情書後最動人的純愛的電影書寫
★ 時隔22年 松隆子&福山雅治再結戲緣
 
裕里的姊姊未咲撒手人寰。裕里（松隆子 飾）在告別式上，從外甥女鮎美（廣瀨鈴 飾）口中得知，有一封寄給未咲的同學會通知。裕里前往姊姊的同學會，想告知姊姊過世的消息，卻被眾人誤認為是曾為校花的姊姊，並且與她的初戀對象鏡史郎（福山雅治 飾）重逢。
 
一場誤會開啟了裕里與鏡史郎之間奇妙的書信往來。學生時期的鏡史郎（神木隆之介 飾）和少女未咲（廣瀨鈴 飾）以及少女裕里（森七菜 飾）之間淡淡的初戀情誼，又彷彿透過往返的信札鮮活起來。書信悄然串起他們的心，讓未咲死亡的真相、過去及現在，以及各自深藏在內心的初戀情懷，即將穿越時空有新了的發展───
 
催生出《情書》、《燕尾蝶》、《四月物語》、《花與愛麗絲》等經典名作的電影導演──岩井俊二。他闖蕩影壇的20多年當中，巧妙地切入各個時代，刻劃出各種當代的愛情。每部作品都有忠實支持者的岩井俊二導演，首度以自身的出身地「宮城縣」作為故事背景，讓錯過的書信情牽兩個世代的男女，《最後的情書》描繪出他們各自的心靈重建與成長。大師岩井俊二的新片，集結到松隆子、廣瀨鈴、庵野秀明、森七菜、神木隆之介、福山雅治等超豪華卡司，老班底中山美穗和豐川悅司也來友情客串。不但讓人重溫名作『情書』的世界，並構築出全新的娛樂視角。
 
          ",上映日期：2020-08-21,https://movies.yahoo.com.tw/movieinfo_main/%E6%9C%80%E5%BE%8C%E7%9A%84%E6%83%85%E6%9B%B8-last-letter-10880
來了,懸疑/驚悚 恐怖 ,"
            ★ 日本鬼才導演中島哲也睽違五年之作，耗時一年多重新編寫劇本
★ 改編自澤村伊智「第22屆日本HORROR小說大賞首獎」得獎大作《邪臨》
★ 傑尼斯演技派男星岡田准一首部恐怖懸疑電影
★ 《告白》《你的名字》製作人川村元氣籌畫製作，睽違8年與中島哲也再度合作
★ 各大獎項常客──黑木華繼《東京小屋的回憶》二度與松隆子精彩共演
★ 《渴望》中瘋狂的妻夫木聰、小松菜奈 再度與導演中島哲也齊力打造恐怖巨作
 
任職於東京食品公司的田原秀樹（妻夫木聰 飾）和妻子香奈（黑木華 飾），幸福地一起扶養2歲的女兒知紗。秀樹沉浸在身為「奶爸」的喜悅中，常在社群媒體中分享自己的育兒日常。看似是個幸福美滿的小家庭，但他們淡忘的離奇過往也悄悄地重襲而來……
 
兩年前，有個神祕訪問者來到秀樹的公司，但接待那名訪問者的後輩竟然離奇死亡。兩年後的現在，秀樹身邊發生許多不可思議之事，感到恐懼的秀樹在朋友的介紹下認識了自由作家野崎昆（岡田准一 飾），與他的靈媒女友比嘉真琴（小松菜奈 飾）。真琴發現籠罩在秀樹周遭的是一股非常強大恐怖的力量……
 
為了對付這強大的謎樣力量，真琴也請來親姐姐琴子（松隆子 飾）幫忙，身為日本最強的靈媒師的琴子，召集了日本各地靈力強大的神職人員，決心一同對付這未知的力量。
 
在琴子的一聲「……來了」為此恐怖之戰揭開序幕……
 
          ",上映日期：2019-03-22,https://movies.yahoo.com.tw/movieinfo_main/%E4%BE%86%E4%BA%86-it-comes-9046
令人討厭的松子的一生：15週年經典數位版,喜劇 音樂/歌舞 愛情 ,"
            ★真人真事百萬暢銷小說改編 日本票房突破 10 億日圓
★《告白》導演中島哲也 & 影后中谷美紀 從影成名代表作
★橫跨數個世代的感動 網路討論長年不間斷
★15 週年經典首度數位 DCP 大銀幕重現
★日本金像獎 9 項提名！榮獲最佳女主角、最佳剪輯、最佳音樂獎
 
一個為愛受盡委屈、出賣自己、甚至不惜殺人的悲情現代女子「松子」，背負一身汙名與無盡眼淚，即使再再失敗，仍只抱著一絲能幸福的希望，直到某天被人發現離奇死在公園草堆…。
 
松子在她的故鄉擔任音樂老師。有一天，她為了心愛的學生洋一頂替偷竊的罪名，但是在緊要關頭，洋一卻背叛了她…被趕出學校後，沒人愛的松子開始不停地尉找自己的真愛。她的人生中遇過各式各樣的男人，有暴力傾向的劇作家、嫖客、理髮師…等等。在歷經不倫之戀後，淪落成酒家女，甚至殺人入獄，都不能阻擋她對愛的渴求。直到那天，她再度遇到洋一…。
 
這個真人真事改編的故事，用各種讓人意想不到的方式表現。豐富的色彩與豪華的特效讓人目不暇給，這部夢幻到不像話卻又心碎的「華麗悲喜劇」，絕對是一生必看不能錯過的經典之作！
          ",上映日期：2021-03-26,https://movies.yahoo.com.tw/movieinfo_main/%E4%BB%A4%E4%BA%BA%E8%A8%8E%E5%8E%AD%E7%9A%84%E6%9D%BE%E5%AD%90%E7%9A%84%E4%B8%80%E7%94%9F-15%E9%80%B1%E5%B9%B4%E7%B6%93%E5%85%B8%E6%95%B8%E4%BD%8D%E7%89%88-memories-of-matsuko-11270
爺爺與喵,劇情 ,"
            「小玉啊……你會陪我到最後吧？」
退休校長大吉爺爺（立川志之輔 飾）在老伴先一步離開人世後，和貓咪小玉一人一貓相依為命，天氣冷的時候就一起窩在暖爐旁取暖、吃飯時間一起開心吃著生魚片，只要有小玉在，就一點也不會感到寂寞。一天，在這個只有貓與老人的小島，突然出現了一位東京來的神秘女子（柴崎幸 飾），她開了島上最「潮」、也是唯一的一間咖啡廳。島上的老人們爭相前來嚐鮮，時尚的老闆娘也意外地好相處。大吉爺爺偶然獲贈鄰居給的一大把豌豆，因為思念起老伴作的豌豆炊飯，在小玉喵的幫(搗)助(蛋)之下，大吉靠著老伴親筆寫的一本食譜完成了這道料理，大吉一邊吃著美食，一邊感慨這份食譜只寫了幾頁。「既然爺爺手藝這麼好，何不由爺爺來完成這本食譜呢？」在咖啡廳女主人的鼓勵之下，大吉爺爺開始一頁一頁地親筆填滿這本食譜。可是，身體向來硬朗的爺爺卻不敵病魔來襲，突然倒下了……
 
【關於電影】
 
知名動物攝影師首度執導，保證每一個鏡頭都有貓身影！
本片改編自在日暢銷超越500,000冊的漫畫《爺爺與小玉喵》，由曾出版多本紀錄世界各地、各類型貓咪生活攝影集的動物攝影師岩合光昭執導，找來日本資深演員立川志之輔、小林薰，以及人氣女星柴崎幸演出，建構出一幅以貓與人之間的強烈羈絆為題的美麗風景。片中所有貓咪的動作、互動皆為實拍，完全沒有使用任何CG合成技術。導演精準地捕捉貓演員的每個動作細節，讓片中的「人類」演員們讚嘆不已。本片也標榜「每一個鏡頭都有貓身影」，拍攝過程中，導演為了讓每個貓鏡頭可以完美呈現，不論過程多麼辛苦也依然不厭其煩地努力，愛貓的心表露無疑。對此導演也驕傲地表示，試片後聽到許多觀眾形容這部電影非常自然，就像是日常生活一般平凡卻溫暖，「這就是我對這部作品的期待，我想做的也是，在最自然的狀況下去描繪那些生長在島嶼上的人們與貓。」為了捕捉貓咪最真實的模樣，導演在拍攝時擔心驚擾到貓演員，所以並不會像一般劇組一樣喊開機或關機，讓貓演員能在日常的狀態下盡情表演、完成拍攝，「我覺得這樣的拍攝方式非常棒，讓我有一種能夠一邊被貓咪療癒，一邊過著島嶼愜意生活的感覺。」
 
百裡選一的貓明星，最有靈性的虎斑貓培根挑大樑生動演出
本片也依照岩合導演的期望，加進了許多主角小玉和其他貓咪的互動。編劇也坦言，「我在寫劇本時，完全不將『這樣的畫面，拍攝貓咪的工作人員真的能夠拍出來嗎？』這樣的想法納入考量。」因此片中有許多拍攝門檻頗高的貓咪鏡頭。劇組為了讓這個劇本得以成立，造訪了多個動物製作公司，拜訪了超過一百隻貓咪演員，一路到最後一關「試鏡」僅留下六隻貓咪。試鏡時，為了看貓與演員的默契，也請主角志之輔到場與貓現場互動。導演仔細觀察每隻貓咪在自己不習慣的地方時，會呈現什麼樣的反應，而六隻貓中，面對環境變化仍能完全不動聲色、保持冷靜的只有培根；當劇組再進一步試著排練貓和志之輔散步的戲時，所有貓中也只有培根會配合志之輔的速度一起走路，而且還自動自發抬了好幾次頭與他對視。當導演看到這一幕時，想都沒想就說「牠就是小玉！」就連志之輔也盛讚：「這樣沉穩、天不怕地不怕的感覺，就是小玉的樣子呢。」而培根在片中的表現也沒有讓大家失望，每個動作、眼神都透露出與整個劇組之間的超高默契，讓導演大讚：「這部片如果沒有培根的話，應該就拍不成了，電影能成功，都要歸功於培根！」
 
          ",上映日期：2019-06-06,https://movies.yahoo.com.tw/movieinfo_main/%E7%88%BA%E7%88%BA%E8%88%87%E5%96%B5-island-of-cats-9814
信長協奏曲,劇情 ,"
            現代魯蛇高中生 竟意外回到過去統治天下？三郎（小栗旬飾）是一個平凡的高中生，成績表現不亮眼、向女同學告白被拒絕、時常遇到不如意的突發狀況。某天，三郎意外掉進時光隧道，穿越時空來到16世紀的戰國時期，甚至還遇到跟他長相一模一樣的少主織田信長（小栗旬飾）。織田信長請求三郎冒充成他的替身處理政務，自己則隱居與世隔絕。原本自信可以勝任的三郎，面對如雪片般飛來的複雜國事，竟動起念頭想打退堂鼓，此外，三郎更想起歷史課本中提到，織田信長在1582年「本能寺之變」中將會喪命，為了讓假冒成織田信長的自己成功度過這個難關，三郎究竟要用什麼方法，才能生存下去？【關於電影】蟬聯日本雙週票房冠軍  總票房衝破42億日幣！原班人馬強勢躍登大銀幕  《信長協奏曲》紅遍日本大街小巷小栗旬、柴崎幸、向井理、山田孝之眾星共演  黃金陣容超吸精由日本熱門漫畫改編的《信長協奏曲》在日本一上映便造成轟動，蟬聯兩週日本票房冠軍，累積票房更以衝破42億日幣！其實在2014年，《信長協奏曲》就已改編成日本電視劇，當時就已由小栗旬、柴崎幸、向井理、山田孝之、藤谷太輔、水原希子、濱田岳等演員主演，如今電影版找來同名電視劇導演松山博昭再操刀，所有主要演員原班人馬強勢回歸，黃金陣容群星共演，絕對將再掀起一波「信長」風！小栗旬一人分飾兩角   高中生穿越回到戰國時期假冒織田信長心虛幽默開玩笑「導演確定我可以演小屁孩沒問題嗎？」剛滿35歲的小栗旬在戲中扮演一位高中生三郎，意外穿越時空來到日本戰國時期，更遇見跟自己宛如雙胞胎、長相完全一樣的織田信長。小栗旬在《信長協奏曲》中一人分飾兩角，一下飾演平凡笨拙的高中生三郎，一下又要飾演日本三大戰國英雄之一的織田信長，收放自如的演技更讓導演佩服，不過倒是小栗旬幽默地開玩笑問導演說由他來扮高中生真的沒有問題嗎？為了完美詮釋，小栗旬也做足功課，最後呈現出高中生單純又茫然的神情，也讓在旁的工作人員直呼「簡直就是高中小屁孩」。
          ",上映日期：2016-06-03,https://movies.yahoo.com.tw/movieinfo_main/%E4%BF%A1%E9%95%B7%E5%8D%94%E5%A5%8F%E6%9B%B2-nobunaga-concerto-6282
鬼門食女,懸疑/驚悚 恐怖 ,"
            ★《鬼來電》、《惡之教典》三池崇史顫慄驚悚新作★ 市川海老藏X柴崎幸X伊藤英明  黃金三角痛快演繹愛慾的噩夢劇場★《送行者》美術大師柘植勳 打造詭異迷亂的絕美深淵滿腔的眷戀一旦厭倦，就只剩下血腥的愛日本最負盛名的歌舞伎情侶成功挑戰古老傳說《真四谷怪談》改編的新劇，飾演一對武士夫妻。在戲裡，武士不但背棄妻子，更狠心將她殺害，錯綜複雜的不倫戀掀起一場腥風血雨。隨著演員入戲漸深，男人竟如怪談劇情，背叛了一起演出的戀人。華麗的舞台上，受到背叛的妻子化身為厲鬼現身復仇，這究竟是戲，還是謀殺實境？當難以解釋的怪事接二連三上演，這場怨念重重的復仇終於邁向顛狂失控的高潮……【關於電影】超豪華陣容 聯手引爆年度驚悚暴力美學鉅作愛慾間最深層耽溺的恐懼，宛如噩夢一般詭異美麗 ……日本惡系驚悚暴力美學教主三池崇史繼《鬼來電》後，又一挑戰顫慄極限之作。起初平靜無波的排練場出現無法忽視的裂縫，舞台劇演員與劇中角色的界線逐漸模糊，接二連三陷入深層慾望的掙扎，直到所有理性都化為烏有，只剩下滿地鮮血與最原始的衝動。導演睽違十年與柴崎幸再度合作，集結日本歌舞伎王子市川海老藏與《惡之教典》伊藤英明，黃金陣容在片中盡情使壞、用力愛用力恨，情慾驚悚與陰森殘忍兼具的銀幕魅力，令觀眾寒毛直豎又欲罷不能！除此之外，《鬼門食女》還請到《送行者》美術大師柘植勳擔任化妝及美術設計，打造目眩神迷的華麗舞台，呈現日式美學結合愛情驚悚的電影新風貌。近期高調復出日本歌壇的華原朋美特別獻唱主題曲《難波船》和視覺系名曲《ROSIER》，為《鬼門食女》的美麗與恐怖劃下最強而有力的註解。
          ",上映日期：2014-12-05,https://movies.yahoo.com.tw/movieinfo_main/%E9%AC%BC%E9%96%80%E9%A3%9F%E5%A5%B3-5519
秘密X戰士 劇場版 大家一起來看電影喔,科幻 動作 ,"
            要將逆反之心老實交代地保護著和平日子！
 
閃亮活耀的幻影甜心們，某日收到超有名的導演黑澤青拍電影邀約！好吧！那麼就如大家所願來拍部幻影無限的電影吧！但卻被逆逆警察的逆反大人所發現，而將在電影拍攝中的導演變成了逆反者！這樣下去就拍不了這部幻影無限的電影了！用大家的應援力量，讓幻影甜心們能完成這部幻影無限的電影吧！
 
          ",上映日期：2021-04-29,https://movies.yahoo.com.tw/movieinfo_main/%E7%A7%98%E5%AF%86X%E6%88%B0%E5%A3%AB-%E5%8A%87%E5%A0%B4%E7%89%88-%E5%A4%A7%E5%AE%B6%E4%B8%80%E8%B5%B7%E4%BE%86%E7%9C%8B%E9%9B%BB%E5%BD%B1%E5%96%94-phantomirage-movie-11333
初戀,犯罪 動作 愛情 ,"
            ★ 日本暴力大師三池崇史首度執導原創愛情故事
★ 窪田正孝 X 大森南朋 X 染谷將太 X 顏正國 X 段鈞豪 台日華麗演員陣容精彩共演　
★ 全球知名爛番茄影評網97%好評推薦，影評盛讚三池崇史重返顛峰之作！
★ 2019 坎城影展「導演雙週」單元
★ 2019 多倫多國際影展
★ 2019 德州奧斯汀奇幻影展
★ 2019 瑞士諾夏特國際奇幻電影節
★ 2019 釜山國際電影節
★ 2019 倫敦影展
 
天才拳擊手葛城李歐（窪田正孝 飾）在輸給不該輸的對手後，被醫生告知來日不多的他，人生開始陷入混亂。走在歌舞伎町街頭的李歐，偶然邂逅一名正被追殺的女孩莫妮卡，隨即展開他這輩子最瘋狂的一晚……
 
          ",上映日期：2020-05-08,https://movies.yahoo.com.tw/movieinfo_main/%E5%88%9D%E6%88%80-first-love-10607
煙囪小鎮的普佩,冒險 動畫 ,"
            ★ 獲選第44屆日本電影學院獎優秀動畫作品獎
★ 《惡童當街》《海獸之子》製作公司．STUDIO４℃最新電影力作
★ 改編自日本諧星西野亮廣創作繪本《煙囪小鎮的普佩》
★ 日本熱賣45萬本，感動全日本的動人繪本登上大銀幕
★ 「天才童星」蘆田愛菜、「NHK晨間劇男主角」窪田正孝一同展開冒險旅程
★ 獻給想要向前邁進的人們，充滿感動的冒險故事
★ 日本票房突破20億，超過百萬觀眾淚眼推薦
 
一段深信「星星」存在的少年．魯必奇與垃圾人．普佩，為了守護希望與夢想的冒險故事。父親總是告訴魯必奇，在與世隔絕、煙霧迷漫的煙囪小鎮上空另一側有著「星星的存在」，為了找出「真相」，魯必奇與普佩展開一場大冒險。
 
　《煙囪小鎮的普佩》由日本知名動畫工作室Studio 4oC打造，全片充滿了鼓舞人心的演出，及扣人心弦的音樂與音效。
 
          ",上映日期：2021-04-01,https://movies.yahoo.com.tw/movieinfo_main/%E7%85%99%E5%9B%AA%E5%B0%8F%E9%8E%AE%E7%9A%84%E6%99%AE%E4%BD%A9-poupelle-of-chimney-town-11279
FANCY – 以情慾與詩為名,劇情 愛情 ,"
            某處荒寂且殘留著濃厚昭和色彩的溫泉街上，原為刺青師的鷹巢明 （永瀨正敏 飾）白天時的工作身分為郵差，其中一項工作便是將粉絲寄的大量信件送往住在郊外白色房子的年輕詩人手裡。成天戴著太陽眼鏡、讓人感覺謎樣的鷹巢，不知為何與不入世的詩人作家企鵝（窪田正孝 飾）意氣相投，每天都有話題可閒聊。有天，一位叫做月夜之星（小西櫻子 飾）的女孩突然出現在企鵝面前。身為詩人企鵝的狂熱粉絲，她執意地向詩人宣布：「我要當你的妻子！」。同時間，當地黑道成員間的紛爭導致血腥暴力事件層出不窮。信仰虛無主義又個性粗暴的鷹巢，崇尚浪漫主義卻性無能的企鵝，以及擁有著少女情懷的月夜之星，這奇妙的三角關係究竟會如何猛烈而危險地繼續糾纏下去……？
          ",上映日期：2021-02-26,https://movies.yahoo.com.tw/movieinfo_main/FANCY-%E4%BB%A5%E6%83%85%E6%85%BE%E8%88%87%E8%A9%A9%E7%82%BA%E5%90%8D-fancy-11233
